名称,拼音,英文名,拉丁名,类别,来源,产地,性状,品质,性味,功效
砂仁,Sharen,Villous Amomum Fruit,Amomi Fructus,果实及种子类,姜科植物阳春砂Amomum villosum Lour. 、绿壳砂Amomum villosum Lour. var. xanthioides T. L. Wu et Senjen 或海南砂Amomum longiligulare T. L. Wu 的干燥成熟果实。,阳春砂仁主产广东、广西等地。进口砂仁主产越南、泰国、缅甸、印度尼西亚等地。,阳春砂、绿壳砂：呈椭圆形或卵圆形，有不明显的三棱，长1.5~2cm，直径1~1.5cm。表面棕褐色，密生刺状突起，顶端有花被残基，基部常有果梗。果皮薄而软。种子结集成团，具三钝棱，中有白色隔膜，将种子团分成3瓣，每瓣有种子5~26粒。种子为不规则多面体，直径2~3mm；表面棕红色或暗褐色，有细皱纹，外被淡棕色膜质假种皮；质硬，胚乳灰白色。气芳香而浓烈，味辛凉、微苦。海南砂：呈长椭圆形或卵圆形，有明显的三棱，长1.5~2cm，直径0.8~1.2cm。表面被片状、分枝的软刺，基部具果梗痕。果皮厚而硬。种子团较小，每瓣有种子3~24粒；种子直径1.5~2mm。气味稍淡。,以个大、坚实、仁饱满、气香浓者为佳。,辛，温。,化湿开胃，温脾止泻，理气安胎。用于湿浊中阻，脘痞不饥，脾胃虚寒，呕吐泄泻，妊娠恶阻，胎动不安。
使君子,Shijunzi,Rangooncreeper Fruit,Quisqualis Fructus,果实及种子类,使君子科植物使君子Quisqualis indica L.的干燥成熟果实。,主产四川、广东、广西等地。,呈椭圆形或卵圆形，具5条纵棱，偶有4~9棱，长2.5~4cm，直径约2cm。表面黑褐色至紫黑色，平滑，微具光泽。顶端狭尖，基部钝圆，有明显圆形的果梗痕。质坚硬，横切面多呈五角星形，棱角处壳较厚，中间呈类圆形空腔。种子长椭圆形或纺锤形，长约2cm，直径约1cm；表面棕褐色或黑褐色，有多数纵皱纹；种皮薄，易剥离；子叶2，黄白色，有油性，断面有裂纹。微香，味微甜。,以个大、表面具紫褐色光泽、仁饱满、色白者为佳。,甘，温。,杀虫消积。用于蛔虫、蛲虫病，虫积腹痛，小儿疳积。
水飞蓟,Shuifeiji,Blessed Thistle Fruit,Silybi Fructus,果实及种子类,菊科植物水飞蓟Silybum marianum (L.) Gaerth的全草及瘦果。,主产陕西、甘肃、黑龙江、河北等地。,本品呈长倒卵形或椭圆形，表面淡灰棕色至黑褐色。光滑。有细纵花纹。顶端钝圆，稍宽，有一圆环，中间具点状花柱残迹，基部略窄。质坚硬。破开后可见子叶2片。浅黄白色，富油性。气微，味淡。,以浅黄白色，富油性者为佳。,苦，凉。,清热解毒，疏肝利胆。用于肝胆湿热，胁痛，黄疸。
天仙子,Tianxianzi,Henbane Seed,Hyosyami Semen,果实及种子类,茄科植物莨菪Hyoscyamus niger L. 的干燥成熟种子。,主产河南、河北、辽宁等地。,呈类扁肾形或扁卵形，直径约1mm。表面棕黄色或灰黄色，有细密的网纹，略尖的一端有点状种脐。剖面灰白色，油质，有胚乳，胚弯曲。无臭，味微辛。,以颗粒饱满、均匀者为佳。,苦、辛，温；有大毒。,解痉止痛，安神定喘。用于胃痉挛疼痛，喘咳，癫狂。
老鹳草,Laoguancao,Common Heron’s Bill Herb,Erodii Herba;Geranii Herba,全草类,牻牛儿苗科植物老鹳草Geranium wilfordii Maxim.、牻牛儿苗Erodium stephanianum Willd. 或野老鹳草Geranium carolinianum L.的干燥地上部分。,主产于山东、河北、四川、云南等地。,老鹳草：茎较细，略短。叶片圆形，3或5深裂，裂片较宽，边缘具缺刻。果实球形，长0.3~0.5cm。花柱长1~1.5cm，有的5 裂向上卷曲呈伞形。牻牛儿苗：茎长30~50cm，直径0.3~0.7cm，多分枝，节膨大。表面灰绿色或带紫色，有纵沟纹及稀疏茸毛。质脆，断面黄白色，有的中空。叶对生，具细长叶柄；叶片卷曲皱缩，质脆易碎，完整者为二回羽状深裂，裂片披针线形。果实长圆形，长0.5~1cm。宿存花柱长2.5~4cm，形似鹳喙，有的裂成5瓣，呈螺旋形卷曲。无臭，味淡。野老鹳草：叶片掌状5~7深裂，裂片条形，每裂片3~5深裂。,以色绿、花果多者为佳。,辛、苦，平。,祛风湿，通经络，止泻痢。用于风湿痹痛，麻木拘挛，筋骨酸痛，泄泻痢疾。
白花蛇舌草,Baihuasheshecao,Spreading Hedyotis Herb,Hedyotidis Herba,全草类,茜草科植物白花蛇舌草Hedyotis diffusa Willd.的干燥全草。,主产长江以南各地。,全体扭缠成团状，灰绿色至灰棕色。主根细长，粗约2mm，须根纤细，淡灰棕色。茎细，卷曲，质脆，易折断，中心髓部白色。叶多皱缩，破碎，易脱落；托叶长1~2mm。花、果单生或成对生于叶腋，花常具短而略粗的花梗。葫果扁球形，直径2~2.5mm，室背开裂，宿萼顶端4裂，边缘具短刺毛。气微，味淡。,以茎叶完整、灰绿色、果实饱满者为佳。,苦、淡，寒。,清热解毒、消痛散结、利尿除湿。尤善治疗各种类型炎症。
半边莲,Banbianlian,Chinese Lobelia Herb,Lobeliae Chinensis Herba,全草类,桔梗科植物半边莲Lobelia chinensis Lour.的干燥全草。,主产于安徽、浙江、江苏等地。,全体长15~35cm，常缠结成团。根细小，侧生纤细须根。根茎细长圆柱形，直径1~2mm；表面淡黄色或黄棕色，具细纵纹。茎细长，有分枝，灰绿色，节明显。叶互生，无柄，叶片多皱缩，绿褐色，展平后叶片呈狭披针形或长小，单生于叶腋；花冠基部连合，上部5裂，偏向一边。气微，味微甘而辛。,以茎叶色绿、根黄者为佳。,甘，平。,清热解毒；利水消肿。主治毒蛇咬伤；痈肿疔疮；扁桃体炎；湿疹；足癣；跌打损伤；湿热黄疸；阑尾炎；肠炎；肾炎；肝硬化腹水及多种癌症。
薄荷,Bohe,Wild Mint Herb,Menthae Haplocalycis Herba,全草类,唇形科植物薄荷Mentha haplocalyx Briq. 的干燥地上部分。,主产于安徽、江苏、江西、四川等地。,本品茎呈方柱形，有对生分枝，长15~40cm，直径0.2~0.4cm；表面紫棕色或淡绿色，棱角处具茸毛，节间长2~5cm；质脆，断面白色，髓部中空。叶对生，有短柄；叶片皱缩卷曲，完整者展平后呈宽披针形、长椭圆形或卵形，长2~7cm，宽1~3cm；上表面深绿色，下表面灰绿色，稀被茸毛，有凹点状腺鳞。轮伞花序腋生，花萼钟状，先端5齿裂，花冠淡紫色。揉搓后有特殊清凉香气，味辛凉。,以色深绿、叶多、气浓者为佳。,辛，凉。,疏散风热，清利头目，透疹。具有疏散风热、清利头目、利咽、透疹、疏肝解郁之功效。现代医学常将其用于治疗风热感冒、头痛、咽喉痛、口舌生疮、风疹、麻疹、胸腹胀闷和抗早孕等。另外，薄荷还具有消炎止痛作用。
车前草,Cheqiancao,Asiatic Plantain Herb,Plantaginis Herba,全草类,车前科植物平车前Plantago depressa Willd.或车前Plantago asiatica L.的干燥全草。,全国各地均产。,车前：根丛生，须状。叶基生，具长柄；叶片皱缩，展平后呈卵状椭圆形或宽卵形，长6~13cm，宽2.5~8cm；表面灰绿色或污绿色，具明显弧形脉5~7条；先端钝或短尖，基部宽楔形，全缘或有不规则波状浅齿。穗状花序数条，花茎长。蒴果盖裂，萼宿存。气微香，味微苦。平车前：主根直而长。叶片较狭，长椭圆形或椭圆状披针形，长5~14cm，宽2~3cm。,以灰绿色、叶片完整者为佳。,甘、淡，微寒。,清热利尿；渗湿止泻；明目；祛痰。主治：主小便不利；淋浊带下；水肿胀满；暑湿泻痢；目赤障翳；痰热咳喘。
穿心莲,Chuanxinlian,Common Andrographis Herb,Andrographitis Herba,全草类,爵床科植物穿心莲Andrographis paniculata (Burm. f.) Nees的干燥地上部分。,主产于福建、云南、广东、广西等地。,茎呈方柱形，多分枝，长50~70cm，节稍膨大；质脆，易折断。单叶对生，叶柄短或近无柄；叶片皱缩、易碎，完整者展开后呈披针形或卵状披针形，长3~12cm，宽2~5cm，先端渐尖，基部楔形下延，全缘或波状；上表面绿色，下表面灰绿色，两面光滑。气微，味极苦。,以绿色、叶多者为佳。,苦，寒。,清热解毒，凉血，消肿，燥湿。主治感冒发热，咽喉肿痛，口舌生疮，顿咳劳嗽，泄泻痢疾，热淋涩痛，痈肿疮疡，毒蛇咬伤。
垂盆草,Chuipencao,Stringy Stonecrop Herb,Sedi Herba,全草类,景天科植物垂盆草Sedum sarmentosum Bge.的干燥或新鲜全草。,主产浙江、安徽、江苏、湖北等地。,该品茎纤细，长可达20cm以上，部分节上可见纤细的不定根。3叶轮生，叶片倒披针形至矩圆形，绿色，肉质，长1.5~2.8cm，宽0.3~0.7cm，先端近急尖，基部急狭，有距。气微，味微苦。,以茎叶完整、黄绿色者为佳。,甘、淡，凉。,清利湿热，解毒。用于湿热黄疸，小便不利，痈肿疮疡，急、慢性肝炎。有降低谷丙转氨酶作用。用于急性肝炎、迁延性肝炎、慢性肝炎的活动性。
大蓟,Daji,Japanese Thistle,Cirsii Japonici Herba,全草类,菊科植物蓟Cirsium japonicum Fisch. ex DC. 的干燥地上部分及根。,主产于江苏、浙江、四川等地。,大蓟草：地上部分呈圆柱形，基部直径可达1.2cm。褐棕色或绿褐色，有很直的棱线 (有数条纵棱)，质略硬而脆。断面灰白色，髓部疏松或中空。叶皱缩，多破碎，绿褐色，完整叶片展平后呈倒披针形或倒卵状椭圆形，羽状深裂，边缘具有不等长针刺，茎，叶均被灰白色蛛丝状毛，质松脆，头状花序球形或椭圆形，总苞黄褐色，苞片披针形，先端微带紫黑色，花冠常脱落，露出灰白色羽状冠毛，气微味淡。气微，味淡。大蓟根：呈长纺锤形，常簇生而扭曲，长5~15cm，直径0.2~0.6cm。表面暗褐色，有不规则的纵皱纹。质硬而脆，易折断，断面粗糙，灰白色。气微，味甘、微苦。,地上部分以灰绿色、叶多者为佳。根以条粗、干燥者为佳。,甘、苦，凉。,止血凉血、祛瘀消肿。主治吐血，衄血，尿血，血淋，血崩，带下，肠风，肠痈，痈疡肿毒，疔疮。
小蓟,Xiaoji,Common ThistleField Thistle,Cirsii Herba,全草类,菊科植物刺儿菜Cirsium setosum (Willd.) MB. 的干燥地上部分。,全国大部分地区均产。,本品茎呈圆柱形，有的上部分枝，长5~30cm，直径0.2~0.5cm；表面灰绿色或带紫色，具纵棱及白色柔毛；质脆，易折断，断面中空。叶互生，无柄或有短柄；叶片皱缩或破碎，完整者展平后呈长椭圆形或长圆状披针形，长3~12cm，宽0.5~3cm；全缘或微齿裂至羽状深裂，齿尖具针刺；上表面绿褐色，下表面灰绿色，两面均具白色柔毛。头状花序单个或数个顶生；总苞钟状，苞片5~8层，黄绿色；花紫红色。气微，味微苦。,以灰绿色、叶多者为佳。,甘、苦，凉。,凉血止血，祛瘀消肿。用于衄血，吐血，尿血，便血，崩漏下血，外伤出血，痈肿疮毒。
淡竹叶,Danzhuye,Common Lophatherum Herb,Lophatheri Herba,全草类,禾本科植物淡竹叶Lophatherum gracile Brongn.的干燥茎叶。,主产江苏、湖南、湖北等地。,茎圆柱形，长25~30cm，直径1.5~2mm；表面淡黄绿色，有节，节上抱有叶鞘，断面中空。叶多皱缩卷曲，叶片被外形，长5~20cm，宽1~3.5cm；表面浅绿色或黄绿色，叶脉平行，具横行小脉，形成长方形的网格状，下表面尤为明显。叶鞘长约5cm，开裂，外具纵条纹，沿叶鞘边缘有白色长柔毛。体轻，质柔韧。气微，味淡。,以叶大、色绿、不带根及花托者为佳。,甘、淡，寒。,清热泻火，除烦止渴，利尿通淋。用于热病烦渴，小便短赤涩痛，口舌生疮。
灯心草,Dengxincao,Common Rush Pith or Herba,Junci Medulla,全草类,灯心草科植物灯心草Juncus effusus L.的干燥茎髓。,主产于江苏、四川、福建等地。,本品呈细圆柱形，长达90cm，直径1~3mm，表面白色或淡黄白色。置放大镜下观察，有隆起的细纵纹及海绵样的细小孔隙；微有光泽。质轻柔软，有弹性，易拉断，断面不平坦，白色。气味不显著。,以条长，粗壮，色白，有弹性者为好。,甘、淡，微寒。,利水通淋；清心降火。主治：淋病；水肿；小便不利，尿少涩痛；湿热黄疸；心烦不寐；小儿夜啼；喉痹；口舌生疮；创伤。
广藿香,Guanghuoxiang,Cablin Potchouli Herb,Pogostemonis Herba,全草类,唇形科植物广藿香Pogostemon cablin (Blanco) Benth.的干燥地上部分。,主产广东广州、遂溪等地。,该品茎略呈方柱形，多分枝，枝条稍曲折，长30~60cm，直径约0.2~0.7cm；表面被柔毛；质脆，易折断，断面中部有髓；老茎类圆柱形，直径1~1.2cm，被灰褐色栓皮。叶对生，皱缩成团，展平后叶片呈卵形或椭圆形，长4~9cm，宽3~7cm；两面均被灰白色茸毛；先端短尖或钝圆，基部楔形或钝圆，边缘具大小不规则的钝齿；叶柄细，长2~5cm，被柔毛。气香特异，味微苦。,以灰绿色、叶多、气浓者为佳。,辛，微温。,芳香化湿；和胃止呕；祛暑解表。主湿阻中焦之脘腹痞闵；食欲不振；呕吐；泄泻；外感暑湿之寒热头痛；湿温初起的发热身困；胸闵恶心；鼻渊；手足癣 。
广金钱草,Guangjinqiancao,Snowbellleaf Tickclover Herb,Desmodii Stracifolii Herba,全草类,豆科植物广金钱草Desmodium styracifolium (Osb.) Merr.的干燥地上部分。,主产湖南、福建、以及两广地区。,干燥的茎枝呈圆柱形，长可达60cm，粗2~5mm，表面淡棕黄色，密被黄色绒毛，质跪易断，断面淡黄色，中心具白色髓。叶皱缩，易脱落，上面灰绿色至暗绿色，无毛，下面浅绿色，密被白色茸毛。茎节处常有托叶，披针形锥尖，浅棕色。生药中偶见花果。气微弱，味淡。,以叶多、色绿者为佳。,甘、淡，平。,清热除湿，利尿通淋。用于热淋、砂淋、石淋、小便涩痛、水肿尿少、黄疸、尿赤、尿路结石。
槲寄生,Hujisheng,Colored Mistletoe Herb,Visci Herba,全草类,桑寄生科植物槲寄生Viscum coloratum (Komar.) Nakai的干燥带叶茎枝。,主产东北、华北地区。,该品茎枝呈圆柱形，2~5叉状分枝，长约30cm，直径0.3~1cm；表面黄绿色、金黄色或黄棕色，有纵皱纹；节膨大，节上有分枝或枝痕。体轻，质脆，易折断，断面不平坦，皮部黄色，木部色较浅，射线放射状，髓部常偏向一边。叶对生于枝梢，易脱落，无柄；叶片呈长椭圆状披针形，长2~7cm，宽0.5~1.5cm；先端钝圆，基部楔形，全缘；表面黄绿色，有细皱纹，主脉5出，中间3条明显。革质。浆果球形，皱缩。无臭，味微苦，嚼之有黏性。,以枝嫩、黄绿色、叶多者为佳。,苦、甘，平。,补肝肾，强筋骨，祛风湿，安胎。
绞股蓝,Jiaogulan,Fiveleaf Gynostemma Herb or Root,Gynostemmatis Pentaphylli Herba seu Radix,全草类,葫芦科植物绞股蓝Gynostemma pentaphyllum (Thunb.) Makino的干燥全草。,主产长江以南各地区。,皱缩，茎纤细灰棕色或暗棕色，表面具纵沟纹，被稀疏绒毛，复叶，小叶膜质，常5~7，少数9枚，叶柄长2~4cm，被糙毛；侧生小叶卵状长圆形或长圆状披针形，中央一枚较大，长4~12cm，宽1~1.3cm，先端渐尖，基部楔形，两面被粗毛，叶缘有锯齿，齿尖具芒。果实圆球形，直径约5mm，果梗长3~5mm。味苦，有草腥气。,以茎纤细、皱缩、灰棕色或暗绿色者为佳。,苦、微甘，凉。,清热，补虚，解毒。能够调节血压，降低血脂，调节血糖，促进尿酸排泄。用于血脂、血压、血糖、血尿酸过高、高或异常者。
鸡骨草,Jigucao,Canton Abrus Herb,Abri Herba,全草类,豆科植物广州相思子Abrus cantoniensis Hance及毛相思子Abrus mollis Hance的干燥全草。,主产两广地区。,该品根多呈圆锥形，上粗下细，有分枝，长短不一，直径0.5~1.5cm；表面灰棕色，粗糙，有细纵纹，支根极细，有的断落或留有残基；质硬。茎丛生，长50~100cm，直径约0.2cm；灰棕色至紫褐色，小枝纤细，疏被或密被短柔毛。羽状复叶互生，小叶8~11 对，多脱落，小叶矩圆形，广州相思子叶长0.8~1.2cm，毛相思子叶长1.2~2.4cm，先端平截，有小突尖，下表面被伏毛。气微香，味微苦。,以根茎结节状、茎叶全者为佳。,甘、微苦，凉。,清热解毒，舒肝止痛。用于黄疸，胁肋不舒，胃脘胀痛；急、慢性肝炎，乳腺炎。
荆芥,Jingjie,Fineleaf Schizonepeta Herb,Schizonepetae Herba,全草类,唇形科植物荆芥Schizonepeta tenuifolia Briq.的干燥地上部分。,主产于江苏、浙江、河北、河南等地。,本品茎呈方柱形，上部有分枝，长50~80cm，直径0.2~0.4cm；表面淡黄绿色或淡紫红色，被短柔毛；体轻，质脆，断面类白色。叶对生，多已脱落，叶片3~5羽状分裂，裂片细长。穗状轮伞花序顶生，长2~9cm，直径约7mm。花冠多脱落，宿萼钟状，先端5齿裂，淡棕色或黄绿色，被短柔毛；小坚果棕黑色。气芳香，味微涩而辛凉。,以色淡黄绿、香气浓、穗长而密者为佳。,辛，微温。,解表散风，透疹，消疮，止血。用于感冒，麻疹透发不畅，便血、崩漏、鼻衄。
金钱草,Jinqiancao,Christina Loosestrife Herb,Lysimachiae Herba,全草类,报春花科植物过路黄Lysimachia christinae Hance的干燥全草。,主产四川、贵州、云南等地区。,全草多皱缩成团，下部茎节上有时着生纤细须根。茎扭曲，直径约1mm；表面红棕色，具纵直纹理；断面实心，灰白色。叶对生，多皱缩破碎，完整叶宽卵形或心形，全缘，上面暗绿色至棕绿色，下面色较浅，用水浸后，透光可见黑色短条纹；叶柄细长，叶腋有时可见花或果实。气微、味淡。,以叶大、色绿者为佳。,甘、咸，微寒。,利水通淋；清热解毒；散瘀消肿。主治肝胆及泌尿系结石；热淋；肾炎水肿；湿热黄疸；疮毒痈肿；毒蛇咬伤；跌打损伤。
卷柏,Juanbai,Tamarisklike Spikemoss Herb,Selaginellae Herba,全草类,卷柏科植物卷柏Selaginella tamariscina (Beauv.) Spring、垫状卷柏Selaginella pulvinata (Hook. et Grev.) Maxim的干燥全草。,主产于广东、福建、湖南、四川等地。,卷柏：卷缩似拳状，长3~10cm。 枝丛生，扁而有分枝，绿色或棕黄色，向内卷曲，枝上密生鳞片状小叶，叶先端具长芒，中叶 (腹叶) 两行，卵状矩圆形，斜向上排列，叶缘膜质，有不整齐的细锯齿。背叶 (侧叶) 背面的膜质边缘常呈棕黑色。基部残留棕色至棕褐色须根，散生或聚生成短干状。质脆，易折断。无臭，味淡。垫状卷柏：须根多散生。中叶 (腹叶) 两行，卵状披针形，直向上排列。叶片左右两侧不等，内缘较平直，外缘常因内折而加厚，呈全缘状。,以叶多、完整、不碎、绿色者为佳。,辛，平。,活血通经。用于经闭痛经，癓瘕痞块，跌扑损伤。外用可治刀伤。卷柏炭化瘀止血。用于吐血，崩漏，便血，脱肛。
鹿衔草,Luxiancao,Chinese Pyrola Herb,Pyrolae Herba,全草类,鹿蹄草科植物鹿蹄草Pyrola calliantha H. Andres或普通鹿蹄草Pyrola decorata H. Andres的干燥全草。,主产于甘肃、陕西、河南、安徽等地。,干燥全草，茎紫褐色，稍具棱，并有皱纹，无毛，微有光泽。叶柄长，扁平而中央凹下，两边呈膜质状，常弯曲，无毛。叶片皱缩，稍破碎，上面紫红色，少有呈棕绿色者，光滑，下面紫红色，无毛，叶脉微突；纸质，易碎。有时可见花茎，上有数朵小花或扁球形棕色蒴果。气无，味微苦。,以紫红色或紫褐色、无杂质者为佳。,甘、苦，温。,补虚、益肾、祛风除湿、活血调经、补肾强骨、祛风除湿、止咳、止血。主肾虚腰痛、风湿痹痛、筋骨痿软、新久咳嗽、吐血、衄血、崩漏、外伤出血。
